id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
944020069465532391,353905039,Basaksehir,41.07162115359937,28.75687714666128,Entire home/apt,999.0,100,3,2023-09-01,0.12,1,217,0,Avrupa
944048161086713685,514412969,Fatih,41.01236,28.97763,Private room,2886.0,150,2,2024-07-18,0.08,2,364,0,Avrupa
944088477821871373,65042801,Beyoglu,41.033408898323074,28.98642302581618,Entire home/apt,2609.0,100,4,2024-04-23,0.16,1,268,0,Avrupa
944121158785073266,514536288,Esenyurt,41.01263506207879,28.66801482133376,Entire home/apt,3701.0,7,3,2023-10-04,0.12,7,360,0,Avrupa
944183532792054643,16518559,Sisli,41.05159942522009,28.99722921534422,Private room,3318.0,1,1,2023-09-30,0.04,2,269,0,Avrupa
944187223326550777,528061792,Sisli,41.05203330403755,28.99510458111763,Entire home/apt,4636.0,4,31,2025-07-16,1.2,1,124,12,Avrupa
944271476277717235,528091108,Esenyurt,41.02572,28.66118,Entire home/apt,1600.0,100,0,No Review,0.0,1,365,0,Avrupa
944286021157017219,76201848,Sisli,41.0468177,28.9858885,Entire home/apt,2683.0,4,0,No Review,0.0,2,70,0,Avrupa
944290707375004426,528097087,Beylikduzu,40.99093,28.66914,Private room,520.0,100,0,No Review,0.0,1,269,0,Avrupa
944354094310412051,51929289,Kadikoy,40.9899547,29.0278206,Private room,1463.0,2,106,2025-09-04,4.03,5,144,48,Anadolu
944374033138352313,474003613,Fatih,41.02382520048408,28.956912539954747,Entire home/apt,1350.0,100,0,No Review,0.0,1,269,0,Avrupa
944485733854629497,507547220,Beyoglu,41.0250036,28.9715826,Entire home/apt,3726.0,2,52,2025-09-27,2.04,23,258,20,Avrupa
944632666451622300,517345194,Kadikoy,40.99286207004562,29.0303716655014,Private room,775.0,1,24,2025-09-17,1.01,22,313,17,Anadolu
944636644815486505,265786441,Adalar,40.8741114,29.12989689999999,Entire home/apt,4591.0,1,58,2025-09-26,2.19,4,268,18,Anadolu
944668117983406859,488431634,Eyup,41.09139285632729,28.945414647459984,Entire home/apt,1470.0,100,5,2023-10-28,0.19,1,169,0,Anadolu
944668684051529826,199225514,Beyoglu,41.03394762105399,28.983439920237743,Private room,2400.0,100,3,2023-12-10,0.12,3,364,0,Avrupa
944746784156624842,474497539,Sisli,41.05650330732816,28.986018262803555,Entire home/apt,3220.0,100,0,No Review,0.0,1,365,0,Avrupa
944747743112019532,77764561,Bahcelievler,41.00549,28.86713,Entire home/apt,1840.0,100,0,No Review,0.0,1,269,0,Avrupa
944758784394861759,528203028,Kartal,40.9127662,29.1977067,Entire home/apt,2375.0,100,8,2024-02-15,0.31,2,365,0,Anadolu
944794985814812175,126623286,Avcilar,40.98126,28.73694,Entire home/apt,2121.0,15,4,2025-07-28,0.16,4,180,2,Avrupa
944796375909054716,385359932,Kagithane,41.0782476,28.98205669999999,Private room,249.0,100,1,2023-10-05,0.04,2,269,0,Avrupa
944799213615491993,528089755,Esenyurt,41.02184,28.6438,Entire home/apt,3200.0,100,0,No Review,0.0,1,365,0,Avrupa
944880520009513628,247229845,Adalar,40.86341,29.11775,Entire home/apt,4492.0,1,90,2025-09-14,3.41,2,269,29,Anadolu
944947132227934812,528268912,Sariyer,41.11113704137113,29.04956817626953,Private room,650.0,100,0,No Review,0.0,1,269,0,Avrupa
